sensor_node_id,scan_time,temp_0,temp_1,temp_2,temp_3,temp_4,temp_5,temp_6,temp_7,temp_8,temp_9,humid_0,humid_1,humid_2,humid_3,humid_4,humid_5,humid_6,humid_7,humid_8,humid_9,gas_scan_0,gas_scan_1,gas_scan_2,gas_scan_3,gas_scan_4,gas_scan_5,gas_scan_6,gas_scan_7,gas_scan_8,gas_scan_9,gas_scan_cnt,trigger,experiment_id,start_time,end_time,burn_material,burn_material_amount(g),hotplate_start,hotplate_temp,distance_sensor_hotplate,venue,venue_type,encoded_specimen
146,2021-09-01 09:01:36.817528009,18.8,19.0,19.6,19.6,19.7,20.0,20.1,20.1,20.3,20.4,74.0,74.0,72.0,72.0,72.0,71.0,70.0,70.0,69.0,69.0,102400000.0,198100.0,7285000.0,168200.0,855800.0,692100.0,613100.0,150400.0,300900.0,364900.0,1.0,manual,6,2021-09-01 08:30:22.000000000,2021-09-01 18:50:46.000000000,SP2,600.0,2021-09-01 10:03:57.000000000,500,30m,hall,Hall,0
146,2021-09-01 09:02:13.375891000,19.2,19.3,19.8,19.8,19.9,20.2,20.2,20.2,20.4,20.5,69.0,69.0,69.0,69.0,69.0,69.0,68.0,68.0,68.0,68.0,102400000.0,293900.0,13181000.0,254800.0,1375800.0,1115100.0,971500.0,216100.0,358000.0,416900.0,2.0,manual,6,2021-09-01 08:30:22.000000000,2021-09-01 18:50:46.000000000,SP2,600.0,2021-09-01 10:03:57.000000000,500,30m,hall,Hall,0
146,2021-09-01 09:02:50.057426000,19.3,19.4,19.9,19.9,20.0,20.3,20.3,20.3,20.5,20.5,68.0,68.0,68.0,68.0,68.0,68.0,68.0,68.0,67.0,67.0,102400000.0,329300.0,15918300.0,286200.0,1618300.0,1293700.0,1126200.0,241500.0,392200.0,440300.0,3.0,manual,6,2021-09-01 08:30:22.000000000,2021-09-01 18:50:46.000000000,SP2,600.0,2021-09-01 10:03:57.000000000,500,30m,hall,Hall,0
146,2021-09-01 09:03:26.565743000,19.3,19.5,20.0,20.0,20.1,20.3,20.4,20.3,20.5,20.6,68.0,68.0,68.0,68.0,68.0,68.0,68.0,67.0,67.0,67.0,102400000.0,350300.0,17541700.0,300900.0,1726800.0,1395500.0,1204700.0,254200.0,408900.0,453400.0,4.0,manual,6,2021-09-01 08:30:22.000000000,2021-09-01 18:50:46.000000000,SP2,600.0,2021-09-01 10:03:57.000000000,500,30m,hall,Hall,0
146,2021-09-01 09:04:03.635421991,19.4,19.5,20.0,20.0,20.1,20.4,20.4,20.4,20.6,20.6,68.0,68.0,68.0,68.0,68.0,68.0,67.0,67.0,67.0,67.0,102400000.0,343900.0,17305500.0,296200.0,1697800.0,1378600.0,1195200.0,252000.0,408200.0,456800.0,5.0,manual,6,2021-09-01 08:30:22.000000000,2021-09-01 18:50:46.000000000,SP2,600.0,2021-09-01 10:03:57.000000000,500,30m,hall,Hall,0
146,2021-09-01 09:04:40.378066000,19.4,19.6,20.1,20.1,20.1,20.4,20.4,20.4,20.6,20.7,67.0,67.0,68.0,68.0,68.0,67.0,67.0,67.0,67.0,67.0,102400000.0,362900.0,18762000.0,314400.0,1813900.0,1470700.0,1273200.0,262200.0,418400.0,469000.0,6.0,manual,6,2021-09-01 08:30:22.000000000,2021-09-01 18:50:46.000000000,SP2,600.0,2021-09-01 10:03:57.000000000,500,30m,hall,Hall,0
143,2021-09-01 09:06:24.213371038,18.6,18.8,19.4,19.4,19.5,19.8,19.8,19.8,20.0,20.1,75.0,75.0,73.0,73.0,73.0,72.0,71.0,71.0,70.0,70.0,41165800.0,77200.0,2074400.0,67700.0,296900.0,233000.0,209700.0,67400.0,182800.0,227500.0,1.0,manual,6,2021-09-01 08:30:22.000000000,2021-09-01 18:50:46.000000000,SP2,600.0,2021-09-01 10:03:57.000000000,500,30m,hall,Hall,0
143,2021-09-01 09:07:00.900690000,19.0,19.1,19.6,19.6,19.7,19.9,20.0,20.0,20.2,20.2,70.0,70.0,70.0,70.0,70.0,70.0,69.0,69.0,69.0,69.0,102400000.0,140400.0,5116800.0,112100.0,551700.0,404800.0,332500.0,95800.0,215100.0,247200.0,2.0,manual,6,2021-09-01 08:30:22.000000000,2021-09-01 18:50:46.000000000,SP2,600.0,2021-09-01 10:03:57.000000000,500,30m,hall,Hall,0
143,2021-09-01 09:07:37.633289098,19.1,19.2,19.7,19.7,19.8,20.0,20.1,20.1,20.3,20.3,69.0,69.0,69.0,69.0,69.0,69.0,69.0,69.0,68.0,68.0,102400000.0,152000.0,5876600.0,120000.0,601200.0,440300.0,359100.0,100700.0,222700.0,255400.0,3.0,manual,6,2021-09-01 08:30:22.000000000,2021-09-01 18:50:46.000000000,SP2,600.0,2021-09-01 10:03:57.000000000,500,30m,hall,Hall,0
143,2021-09-01 09:08:14.481864929,19.1,19.3,19.8,19.8,19.8,20.1,20.1,20.1,20.3,20.4,69.0,69.0,69.0,69.0,69.0,69.0,68.0,68.0,68.0,68.0,102400000.0,156800.0,6305100.0,122700.0,619200.0,457700.0,376600.0,103200.0,225600.0,259500.0,4.0,manual,6,2021-09-01 08:30:22.000000000,2021-09-01 18:50:46.000000000,SP2,600.0,2021-09-01 10:03:57.000000000,500,30m,hall,Hall,0
143,2021-09-01 09:08:51.848716020,19.2,19.3,19.8,19.8,19.9,20.1,20.2,20.2,20.4,20.4,68.0,69.0,69.0,69.0,69.0,68.0,68.0,68.0,68.0,68.0,102400000.0,147200.0,5740700.0,117500.0,585300.0,438000.0,356100.0,99400.0,225500.0,260000.0,5.0,manual,6,2021-09-01 08:30:22.000000000,2021-09-01 18:50:46.000000000,SP2,600.0,2021-09-01 10:03:57.000000000,500,30m,hall,Hall,0
143,2021-09-01 09:09:28.519032001,19.2,19.4,19.8,19.8,19.9,20.2,20.2,20.2,20.4,20.4,68.0,68.0,68.0,68.0,68.0,68.0,68.0,68.0,68.0,67.0,102400000.0,157800.0,6378800.0,124000.0,621500.0,458600.0,379300.0,102800.0,228700.0,263900.0,6.0,manual,6,2021-09-01 08:30:22.000000000,2021-09-01 18:50:46.000000000,SP2,600.0,2021-09-01 10:03:57.000000000,500,30m,hall,Hall,0
140,2021-09-01 09:00:29.467633000,18.8,18.9,19.6,19.6,19.6,19.9,20.0,20.0,20.2,20.3,73.0,73.0,73.0,73.0,73.0,73.0,72.0,72.0,73.0,73.0,102400000.0,1280400.0,100515296.0,1143100.0,8464900.0,7184300.0,6290600.0,898000.0,885200.0,854200.0,1.0,manual,6,2021-09-01 08:30:22.000000000,2021-09-01 18:50:46.000000000,SP2,600.0,2021-09-01 10:03:57.000000000,500,30m,hall,Hall,0
140,2021-09-01 09:01:06.177238000,19.1,19.3,19.8,19.8,19.8,20.1,20.1,20.1,20.3,20.4,73.0,73.0,73.0,73.0,73.0,73.0,73.0,72.0,73.0,73.0,102400000.0,813900.0,60667400.0,752100.0,5239500.0,4619100.0,4136300.0,640200.0,740900.0,777300.0,2.0,manual,6,2021-09-01 08:30:22.000000000,2021-09-01 18:50:46.000000000,SP2,600.0,2021-09-01 10:03:57.000000000,500,30m,hall,Hall,0
140,2021-09-01 09:01:42.883399000,19.2,19.4,19.8,19.8,19.9,20.2,20.2,20.2,20.4,20.5,73.0,73.0,73.0,73.0,73.0,73.0,73.0,73.0,73.0,73.0,102400000.0,737700.0,54945200.0,701300.0,4810300.0,4302500.0,3900000.0,608700.0,729000.0,781800.0,3.0,manual,6,2021-09-01 08:30:22.000000000,2021-09-01 18:50:46.000000000,SP2,600.0,2021-09-01 10:03:57.000000000,500,30m,hall,Hall,0
140,2021-09-01 09:02:19.670900106,19.3,19.4,19.9,19.9,20.0,20.2,20.3,20.3,20.5,20.5,73.0,73.0,73.0,73.0,73.0,73.0,73.0,73.0,73.0,73.0,102400000.0,745800.0,55223000.0,701300.0,4823000.0,4336600.0,3942200.0,615300.0,731400.0,791800.0,4.0,manual,6,2021-09-01 08:30:22.000000000,2021-09-01 18:50:46.000000000,SP2,600.0,2021-09-01 10:03:57.000000000,500,30m,hall,Hall,0
140,2021-09-01 09:02:56.824527025,19.3,19.5,19.9,19.9,20.0,20.3,20.3,20.3,20.5,20.5,73.0,73.0,73.0,73.0,73.0,73.0,73.0,73.0,73.0,73.0,102400000.0,754100.0,56655200.0,710100.0,4900900.0,4446100.0,4086800.0,628400.0,751200.0,806700.0,5.0,manual,6,2021-09-01 08:30:22.000000000,2021-09-01 18:50:46.000000000,SP2,600.0,2021-09-01 10:03:57.000000000,500,30m,hall,Hall,0
140,2021-09-01 09:03:33.532972000,19.4,19.5,20.0,20.0,20.1,20.3,20.4,20.3,20.5,20.6,73.0,73.0,73.0,73.0,73.0,73.0,73.0,73.0,73.0,73.0,102400000.0,771600.0,58789800.0,735300.0,5074000.0,4623000.0,4229200.0,648700.0,771200.0,830300.0,6.0,manual,6,2021-09-01 08:30:22.000000000,2021-09-01 18:50:46.000000000,SP2,600.0,2021-09-01 10:03:57.000000000,500,30m,hall,Hall,0
139,2021-09-01 08:58:37.190576076,18.9,19.0,19.6,19.6,19.7,20.0,20.1,20.0,20.2,20.3,75.0,75.0,73.0,73.0,73.0,72.0,71.0,71.0,70.0,70.0,102400000.0,153100.0,5097600.0,132800.0,661900.0,525300.0,461400.0,118300.0,250700.0,301900.0,1.0,manual,6,2021-09-01 08:30:22.000000000,2021-09-01 18:50:46.000000000,SP2,600.0,2021-09-01 10:03:57.000000000,500,30m,hall,Hall,0
139,2021-09-01 08:59:13.819256067,19.2,19.3,19.8,19.8,19.9,20.1,20.2,20.2,20.4,20.4,70.0,70.0,70.0,70.0,70.0,70.0,69.0,69.0,69.0,69.0,102400000.0,228100.0,9009600.0,192600.0,1033200.0,811500.0,692800.0,160300.0,290400.0,331200.0,2.0,manual,6,2021-09-01 08:30:22.000000000,2021-09-01 18:50:46.000000000,SP2,600.0,2021-09-01 10:03:57.000000000,500,30m,hall,Hall,0
139,2021-09-01 08:59:50.441437959,19.3,19.4,19.9,19.9,20.0,20.2,20.3,20.3,20.4,20.5,69.0,69.0,69.0,69.0,69.0,69.0,69.0,69.0,69.0,68.0,102400000.0,252500.0,10590800.0,211700.0,1155700.0,916700.0,779500.0,174400.0,306000.0,345700.0,3.0,manual,6,2021-09-01 08:30:22.000000000,2021-09-01 18:50:46.000000000,SP2,600.0,2021-09-01 10:03:57.000000000,500,30m,hall,Hall,0
139,2021-09-01 09:00:27.082521915,19.3,19.5,20.0,20.0,20.0,20.3,20.3,20.3,20.5,20.5,69.0,69.0,69.0,69.0,69.0,69.0,69.0,68.0,68.0,68.0,102400000.0,261600.0,11303200.0,219400.0,1214300.0,972900.0,821800.0,180900.0,313600.0,354300.0,4.0,manual,6,2021-09-01 08:30:22.000000000,2021-09-01 18:50:46.000000000,SP2,600.0,2021-09-01 10:03:57.000000000,500,30m,hall,Hall,0
139,2021-09-01 09:01:04.330970000,19.4,19.5,20.0,20.0,20.1,20.3,20.4,20.3,20.5,20.6,69.0,69.0,69.0,69.0,69.0,69.0,68.0,68.0,68.0,68.0,102400000.0,255400.0,11074000.0,218000.0,1204700.0,962600.0,814400.0,178600.0,313600.0,356100.0,5.0,manual,6,2021-09-01 08:30:22.000000000,2021-09-01 18:50:46.000000000,SP2,600.0,2021-09-01 10:03:57.000000000,500,30m,hall,Hall,0
139,2021-09-01 09:01:40.962810993,19.4,19.5,20.0,20.0,20.1,20.3,20.4,20.4,20.5,20.6,68.0,68.0,68.0,68.0,68.0,68.0,68.0,68.0,68.0,68.0,102400000.0,271400.0,11906900.0,227200.0,1269600.0,1018600.0,865500.0,186200.0,321600.0,361800.0,6.0,manual,6,2021-09-01 08:30:22.000000000,2021-09-01 18:50:46.000000000,SP2,600.0,2021-09-01 10:03:57.000000000,500,30m,hall,Hall,0
137,2021-09-01 09:02:12.939383029,19.2,19.4,20.0,20.0,20.1,20.4,20.5,20.5,20.7,20.8,74.0,74.0,72.0,72.0,72.0,71.0,70.0,70.0,69.0,69.0,30291600.0,76400.0,1823600.0,69300.0,294100.0,252400.0,234800.0,69000.0,160600.0,200800.0,1.0,manual,6,2021-09-01 08:30:22.000000000,2021-09-01 18:50:46.000000000,SP2,600.0,2021-09-01 10:03:57.000000000,500,30m,hall,Hall,0
