sensor_node_id,scan_time,temp_0,temp_1,temp_2,temp_3,temp_4,temp_5,temp_6,temp_7,temp_8,temp_9,humid_0,humid_1,humid_2,humid_3,humid_4,humid_5,humid_6,humid_7,humid_8,humid_9,gas_scan_0,gas_scan_1,gas_scan_2,gas_scan_3,gas_scan_4,gas_scan_5,gas_scan_6,gas_scan_7,gas_scan_8,gas_scan_9,gas_scan_cnt,encoded_specimen,trigger,burn_material,burn_material_amount(g),end_time,hotplate_start,hotplate_temp,experiment,sensor_hotplate_distance,start_time,venue
137,2021-09-01 09:02:12.939383029+00:00,19.2,19.4,20,20,20.1,20.4,20.5,20.5,20.7,20.8,74,74,72,72,72,71,70,70,69,69,30291600,76400,1823600,69300,294100,252400,234800,69000,160600,200800,1,0,manual,SP2,600,2021-09-01 18:50:46+00:00,2021-09-01 10:03:57+00:00,500,6,30m,2021-09-01 08:30:22+00:00,hall
137,2021-09-01 09:02:49.563847064+00:00,19.6,19.7,20.2,20.2,20.3,20.6,20.6,20.6,20.8,20.9,69,70,70,70,69,69,69,69,68,68,102400000,144100,4785000,120800,577300,472900,416600,106100,196100,224900,2,0,manual,SP2,600,2021-09-01 18:50:46+00:00,2021-09-01 10:03:57+00:00,500,6,30m,2021-09-01 08:30:22+00:00,hall
137,2021-09-01 09:03:26.179350+00:00,19.6,19.8,20.3,20.3,20.4,20.6,20.7,20.7,20.9,20.9,69,69,69,69,69,69,68,68,68,68,102400000,160600,5610900,133400,649900,532300,466800,115400,208000,238800,3,0,manual,SP2,600,2021-09-01 18:50:46+00:00,2021-09-01 10:03:57+00:00,500,6,30m,2021-09-01 08:30:22+00:00,hall
137,2021-09-01 09:04:02.821827+00:00,19.7,19.9,20.4,20.4,20.5,20.7,20.7,20.7,20.9,21,68,68,69,69,69,68,68,68,68,67,102400000,167900,6073700,139100,682400,560300,489200,119000,215000,245100,4,0,manual,SP2,600,2021-09-01 18:50:46+00:00,2021-09-01 10:03:57+00:00,500,6,30m,2021-09-01 08:30:22+00:00,hall
137,2021-09-01 09:04:39.888919115+00:00,19.7,19.9,20.4,20.4,20.5,20.7,20.8,20.8,21,21,68,68,69,68,69,68,68,68,68,67,102400000,156300,5593700,131700,645000,528200,465800,114900,214900,245500,5,0,manual,SP2,600,2021-09-01 18:50:46+00:00,2021-09-01 10:03:57+00:00,500,6,30m,2021-09-01 08:30:22+00:00,hall
137,2021-09-01 09:05:16.514827013+00:00,19.8,19.9,20.4,20.5,20.6,20.8,20.8,20.8,21,21.1,68,68,68,68,68,68,68,68,67,67,102400000,171200,6420000,142600,706400,575900,507000,121900,220700,250300,6,0,manual,SP2,600,2021-09-01 18:50:46+00:00,2021-09-01 10:03:57+00:00,500,6,30m,2021-09-01 08:30:22+00:00,hall
136,2021-09-01 08:58:54.589292+00:00,18.7,18.9,19.5,19.5,19.6,19.9,19.9,19.9,20.2,20.2,73,73,71,70,70,70,69,69,68,68,23430800,81700,1914400,75600,318000,269100,250000,77200,204200,249800,1,0,manual,SP2,600,2021-09-01 18:50:46+00:00,2021-09-01 10:03:57+00:00,500,6,30m,2021-09-01 08:30:22+00:00,hall
136,2021-09-01 08:59:31.046547+00:00,19.1,19.2,19.7,19.7,19.8,20,20.1,20.1,20.3,20.3,68,68,68,68,68,68,67,67,67,67,102400000,163200,5470400,134300,648100,508500,439400,117300,240100,274700,2,0,manual,SP2,600,2021-09-01 18:50:46+00:00,2021-09-01 10:03:57+00:00,500,6,30m,2021-09-01 08:30:22+00:00,hall
136,2021-09-01 09:00:07.590393066+00:00,19.2,19.3,19.8,19.8,19.9,20.1,20.2,20.1,20.4,20.4,67,67,67,67,67,67,67,67,67,66,102400000,178400,6547000,145800,721300,566300,484000,125400,253900,288600,3,0,manual,SP2,600,2021-09-01 18:50:46+00:00,2021-09-01 10:03:57+00:00,500,6,30m,2021-09-01 08:30:22+00:00,hall
136,2021-09-01 09:00:44.123855113+00:00,19.2,19.4,19.8,19.8,19.9,20.2,20.2,20.2,20.4,20.5,67,67,67,67,67,67,67,67,66,66,102400000,185800,6929100,150100,752900,586300,501400,128000,259100,294900,4,0,manual,SP2,600,2021-09-01 18:50:46+00:00,2021-09-01 10:03:57+00:00,500,6,30m,2021-09-01 08:30:22+00:00,hall
136,2021-09-01 09:01:21.075597+00:00,19.3,19.4,19.9,19.9,20,20.2,20.3,20.2,20.5,20.5,67,67,67,67,67,67,66,66,66,66,102400000,174000,6401200,144300,702000,558000,481600,124300,259100,295900,5,0,manual,SP2,600,2021-09-01 18:50:46+00:00,2021-09-01 10:03:57+00:00,500,6,30m,2021-09-01 08:30:22+00:00,hall
136,2021-09-01 09:01:57.599919+00:00,19.3,19.5,19.9,19.9,20,20.2,20.3,20.3,20.5,20.5,66,66,67,67,67,66,66,66,66,66,102400000,193200,7081900,152800,756200,594400,506600,129500,263500,301100,6,0,manual,SP2,600,2021-09-01 18:50:46+00:00,2021-09-01 10:03:57+00:00,500,6,30m,2021-09-01 08:30:22+00:00,hall
134,2021-09-01 09:01:14.700536966+00:00,19,19.2,19.8,19.9,19.9,20.2,20.3,20.3,20.5,20.6,76,76,74,74,74,73,72,72,71,70,102400000,328700,17799000,291100,1589100,1371700,1236300,251400,416100,504000,1,0,manual,SP2,600,2021-09-01 18:50:46+00:00,2021-09-01 10:03:57+00:00,500,6,30m,2021-09-01 08:30:22+00:00,hall
134,2021-09-01 09:01:51.285746097+00:00,19.4,19.5,20.1,20.1,20.2,20.4,20.5,20.5,20.7,20.7,70,70,70,70,70,70,70,70,69,69,102400000,426500,25847300,382800,2170000,1893200,1707300,326200,500000,573000,2,0,manual,SP2,600,2021-09-01 18:50:46+00:00,2021-09-01 10:03:57+00:00,500,6,30m,2021-09-01 08:30:22+00:00,hall
134,2021-09-01 09:02:27.885106086+00:00,19.5,19.6,20.2,20.2,20.3,20.5,20.6,20.6,20.8,20.8,69,69,69,69,70,69,69,69,69,68,102400000,482300,31022900,429800,2534600,2192700,1979700,363700,540700,609300,3,0,manual,SP2,600,2021-09-01 18:50:46+00:00,2021-09-01 10:03:57+00:00,500,6,30m,2021-09-01 08:30:22+00:00,hall
134,2021-09-01 09:03:04.271744966+00:00,19.6,19.7,20.2,20.2,20.3,20.6,20.6,20.6,20.8,20.9,69,69,69,69,69,69,69,69,68,68,102400000,510800,33833700,453800,2713400,2365500,2154600,391500,560700,630700,4,0,manual,SP2,600,2021-09-01 18:50:46+00:00,2021-09-01 10:03:57+00:00,500,6,30m,2021-09-01 08:30:22+00:00,hall
134,2021-09-01 09:03:41.425556898+00:00,19.6,19.7,20.3,20.3,20.3,20.6,20.7,20.6,20.9,20.9,69,69,69,69,69,69,68,68,68,68,102400000,502200,33191100,446900,2671000,2341200,2104800,386400,559400,635400,5,0,manual,SP2,600,2021-09-01 18:50:46+00:00,2021-09-01 10:03:57+00:00,500,6,30m,2021-09-01 08:30:22+00:00,hall
134,2021-09-01 09:04:17.778662919+00:00,19.6,19.8,20.3,20.3,20.4,20.6,20.7,20.7,20.9,20.9,68,68,69,69,69,68,68,68,68,68,102400000,526600,36008700,471000,2852300,2493000,2230300,404100,577800,648700,6,0,manual,SP2,600,2021-09-01 18:50:46+00:00,2021-09-01 10:03:57+00:00,500,6,30m,2021-09-01 08:30:22+00:00,hall
133,2021-09-01 08:59:14.259419918+00:00,20.3,20.4,21,21,21,21.3,21.4,21.3,21.5,21.6,68,68,67,67,67,67,67,67,67,66,102400000,837900,63350400,774700,5509000,4883400,4399500,675600,820300,886900,2,0,manual,SP2,600,2021-09-01 18:50:46+00:00,2021-09-01 10:03:57+00:00,500,6,30m,2021-09-01 08:30:22+00:00,hall
133,2021-09-01 08:59:50.882534980+00:00,20.4,20.6,21.1,21.1,21.2,21.4,21.4,21.4,21.6,21.7,66,66,66,66,66,66,66,66,66,65,102400000,841000,64951400,788600,5634100,4976900,4478900,680300,831800,891500,3,0,manual,SP2,600,2021-09-01 18:50:46+00:00,2021-09-01 10:03:57+00:00,500,6,30m,2021-09-01 08:30:22+00:00,hall
